collect.....= UnicornPy_2020.01.07.1
device......= UN-2019.05.51
samplerate..= 250.000
channels....= 16
date........= 2020-01-09T13:29:30.525524
filename....= recordeddata
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
3660.590,3648.610,3655.136,3640.026,3651.381,3651.202,3648.252,3651.649,0.000,1.021,0.088,-0.488,1.831,0.519,66.667,137.000
3660.769,3648.967,3654.868,3640.116,3650.845,3651.470,3648.073,3652.007,0.002,1.019,0.086,-0.458,1.831,0.427,66.667,138.000
3660.858,3649.146,3654.779,3640.026,3650.845,3651.292,3648.163,3652.365,0.002,1.019,0.084,-0.458,1.831,0.458,66.667,139.000
3660.858,3649.057,3655.047,3640.473,3650.755,3651.649,3648.341,3652.096,0.002,1.019,0.084,-0.458,1.770,0.549,66.667,140.000
3660.590,3648.431,3654.689,3640.295,3650.576,3651.470,3647.984,3652.096,0.003,1.021,0.086,-0.488,1.740,0.488,66.667,141.000
3661.037,3648.788,3654.868,3640.295,3650.845,3651.649,3648.073,3652.186,0.004,1.020,0.087,-0.488,1.801,0.366,66.667,142.000
3661.037,3648.788,3654.779,3640.742,3650.845,3651.917,3648.341,3652.365,0.002,1.018,0.088,-0.488,1.770,0.397,66.667,143.000
3661.037,3649.235,3654.868,3639.758,3651.202,3652.096,3648.073,3652.096,0.002,1.019,0.088,-0.580,1.831,0.305,66.667,144.000
3661.126,3649.235,3655.047,3640.116,3651.470,3651.739,3648.341,3652.096,0.002,1.019,0.086,-0.702,1.831,0.397,66.667,145.000
3661.037,3649.235,3654.779,3640.116,3651.470,3651.649,3648.163,3651.739,0.001,1.020,0.084,-0.702,1.770,0.427,66.667,146.000
3661.037,3649.235,3654.868,3640.295,3651.202,3651.739,3648.431,3651.828,0.000,1.019,0.083,-0.641,1.678,0.519,66.667,147.000
3660.948,3648.699,3655.315,3640.116,3651.023,3651.649,3648.341,3652.007,0.003,1.019,0.087,-0.702,1.740,0.610,66.667,148.000
3660.948,3649.057,3654.779,3640.473,3651.292,3651.649,3648.341,3651.739,0.002,1.020,0.084,-0.488,1.862,0.580,66.667,149.000
3661.663,3649.235,3654.868,3640.652,3651.649,3651.649,3648.341,3651.828,0.005,1.020,0.088,-0.488,1.740,0.732,66.667,150.000
3661.305,3649.325,3655.047,3640.473,3651.023,3651.917,3648.431,3651.917,0.005,1.020,0.084,-0.610,1.648,0.702,66.667,151.000
3661.037,3649.325,3654.779,3640.473,3651.023,3651.649,3648.341,3651.917,0.004,1.020,0.086,-0.641,1.770,0.702,66.667,152.000
3660.858,3649.504,3655.315,3640.384,3651.292,3651.917,3648.252,3652.365,0.003,1.021,0.088,-0.671,1.740,0.580,66.667,153.000
3660.858,3649.057,3655.315,3640.473,3651.292,3652.007,3648.341,3652.543,0.001,1.020,0.085,-0.671,1.709,0.549,66.667,154.000
3660.679,3648.699,3654.868,3640.116,3651.292,3652.096,3648.163,3651.917,0.004,1.020,0.086,-0.702,1.709,0.458,66.667,155.000
3660.948,3649.325,3654.868,3640.295,3651.470,3651.828,3648.252,3651.917,0.002,1.020,0.087,-0.732,1.678,0.397,66.667,156.000
3661.126,3649.593,3654.779,3640.563,3651.202,3651.649,3648.520,3652.186,0.003,1.020,0.086,-0.824,1.678,0.549,66.667,157.000
3661.037,3649.235,3654.779,3640.116,3651.023,3651.917,3648.610,3651.917,0.002,1.022,0.087,-0.793,1.678,0.519,66.667,158.000
3661.484,3649.414,3655.136,3640.384,3651.292,3652.007,3648.341,3652.186,0.000,1.021,0.086,-0.671,1.770,0.519,66.667,159.000
3661.484,3649.414,3654.868,3640.831,3651.202,3651.917,3648.431,3651.739,0.003,1.020,0.088,-0.671,1.770,0.488,66.667,160.000
3661.126,3649.057,3654.868,3640.563,3651.202,3651.739,3648.431,3651.739,0.003,1.019,0.089,-0.519,1.862,0.580,66.667,161.000
3661.126,3649.146,3654.779,3640.295,3651.202,3651.470,3647.984,3652.365,0.003,1.020,0.086,-0.458,1.770,0.641,66.667,162.000
3661.305,3649.235,3654.510,3640.652,3651.202,3651.739,3648.073,3652.186,0.002,1.020,0.088,-0.458,1.801,0.610,66.667,163.000
3661.573,3649.682,3654.868,3640.742,3651.649,3651.739,3648.431,3652.096,0.003,1.022,0.088,-0.458,1.770,0.610,66.667,164.000
