collect.....= UnicornPy_2020.05.30.0
device......= UN-2019.05.51
samplerate..= 250.000
channels....= 16
date........= 2020-06-24T11:05:15.097741
filename....= Raw\example626
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
-104.696,-116.497,-100.851,-124.723,-69.916,-108.987,-122.398,-108.004,0.553,0.772,0.434,-0.610,1.740,0.671,73.333,104.000
-104.606,-116.140,-100.851,-124.455,-69.827,-108.898,-122.577,-107.825,0.553,0.771,0.432,-0.641,1.740,0.763,73.333,105.000
-104.696,-116.229,-100.851,-124.455,-70.095,-108.987,-122.488,-107.735,0.553,0.770,0.432,-0.641,1.709,0.702,73.333,106.000
-104.606,-116.318,-100.583,-124.186,-70.095,-108.987,-122.219,-107.646,0.554,0.770,0.434,-0.549,1.709,0.641,73.333,107.000
-104.338,-116.318,-100.493,-124.186,-69.827,-108.808,-122.219,-107.557,0.556,0.770,0.434,-0.488,1.740,0.610,73.333,108.000
-104.338,-116.318,-100.315,-124.097,-69.737,-108.808,-122.130,-107.467,0.553,0.769,0.437,-0.397,1.709,0.427,73.333,109.000
-104.338,-116.140,-100.493,-124.186,-69.648,-108.719,-121.951,-107.467,0.554,0.770,0.434,-0.397,1.678,0.397,73.333,110.000
-104.249,-116.140,-100.672,-124.007,-69.827,-108.540,-122.219,-107.467,0.552,0.770,0.432,-0.458,1.801,0.427,73.333,111.000
-104.159,-115.961,-100.315,-124.007,-69.827,-108.540,-122.130,-107.378,0.556,0.770,0.434,-0.488,1.740,0.427,73.333,112.000
-104.249,-115.961,-100.493,-123.829,-69.916,-108.540,-121.683,-107.378,0.555,0.770,0.435,-0.519,1.709,0.488,73.333,113.000
-104.070,-115.961,-100.315,-123.918,-69.827,-108.451,-121.683,-107.288,0.554,0.770,0.434,-0.610,1.770,0.427,73.333,114.000
-103.891,-115.693,-100.493,-124.007,-69.827,-108.272,-121.504,-107.199,0.552,0.770,0.437,-0.549,1.709,0.580,73.333,115.000
-103.802,-115.871,-100.404,-123.739,-69.648,-108.272,-121.415,-107.199,0.552,0.771,0.436,-0.549,1.770,0.671,73.333,116.000
-103.891,-115.871,-100.315,-123.471,-69.827,-108.182,-121.146,-107.199,0.555,0.774,0.435,-0.702,1.648,0.671,73.333,117.000
-103.802,-115.782,-100.404,-123.560,-69.916,-108.004,-121.057,-107.110,0.555,0.773,0.434,-0.702,1.617,0.732,73.333,118.000
-103.802,-115.782,-100.225,-123.560,-69.737,-108.004,-121.325,-107.110,0.554,0.772,0.436,-0.610,1.709,0.671,73.333,119.000
-103.712,-115.871,-100.136,-123.739,-69.827,-107.914,-121.325,-107.020,0.554,0.769,0.438,-0.610,1.770,0.580,73.333,120.000
-103.891,-115.693,-100.315,-123.560,-69.737,-107.914,-121.236,-107.020,0.556,0.769,0.438,-0.641,1.862,0.549,73.333,121.000
-103.802,-115.961,-99.957,-123.560,-69.737,-108.182,-121.146,-107.020,0.556,0.770,0.437,-0.610,1.770,0.427,73.333,122.000
-103.623,-115.871,-100.225,-123.382,-69.916,-107.825,-121.146,-107.110,0.554,0.771,0.437,-0.488,1.801,0.397,73.333,123.000
-103.623,-115.514,-100.225,-123.471,-69.916,-107.825,-120.968,-107.020,0.552,0.770,0.438,-0.275,1.770,0.275,73.333,124.000
-103.623,-115.603,-99.957,-123.382,-69.737,-107.914,-120.878,-106.931,0.552,0.769,0.437,-0.366,1.740,0.336,73.333,125.000
-103.712,-115.514,-99.957,-123.292,-69.648,-107.914,-120.610,-106.752,0.552,0.769,0.436,-0.397,1.678,0.488,73.333,126.000
-103.802,-115.514,-99.957,-123.471,-69.469,-108.093,-120.789,-106.841,0.549,0.771,0.434,-0.427,1.678,0.580,73.333,127.000
-103.444,-115.424,-99.778,-123.113,-69.648,-108.004,-120.789,-106.841,0.552,0.772,0.435,-0.549,1.678,0.702,73.333,128.000
-103.444,-115.424,-99.868,-123.024,-69.648,-108.004,-120.789,-106.752,0.553,0.772,0.434,-0.610,1.740,0.702,73.333,129.000
-103.533,-115.246,-99.957,-123.113,-69.559,-107.825,-120.789,-106.663,0.555,0.775,0.435,-0.732,1.740,0.702,73.333,130.000
-103.354,-115.335,-99.957,-123.203,-69.737,-108.093,-120.789,-106.484,0.555,0.773,0.433,-0.671,1.740,0.671,73.333,131.000
-103.444,-115.424,-99.778,-123.471,-69.916,-107.825,-120.699,-106.663,0.555,0.771,0.434,-0.610,1.770,0.641,73.333,132.000
-103.354,-115.246,-99.868,-123.024,-69.737,-107.914,-120.878,-106.752,0.556,0.769,0.434,-0.610,1.862,0.549,73.333,133.000
-103.176,-115.067,-99.778,-122.845,-69.827,-108.182,-120.878,-106.573,0.553,0.771,0.435,-0.488,1.740,0.549,73.333,134.000
-103.444,-115.067,-99.778,-123.024,-69.916,-107.914,-120.610,-106.663,0.554,0.769,0.436,-0.427,1.892,0.458,73.333,135.000
-103.354,-115.067,-99.778,-123.024,-69.916,-107.557,-120.610,-106.752,0.554,0.769,0.434,-0.519,1.770,0.397,73.333,136.000
-103.354,-115.335,-99.868,-123.113,-69.737,-107.646,-120.699,-106.752,0.552,0.769,0.431,-0.519,1.801,0.427,73.333,137.000
-103.354,-115.424,-99.778,-123.024,-69.559,-107.825,-120.610,-106.663,0.551,0.769,0.431,-0.519,1.770,0.427,73.333,138.000
-103.176,-115.335,-99.510,-123.024,-69.559,-107.914,-120.431,-106.573,0.552,0.771,0.433,-0.580,1.709,0.427,73.333,139.000
-103.354,-115.246,-99.510,-123.024,-69.648,-107.825,-120.431,-106.573,0.553,0.771,0.435,-0.641,1.740,0.549,73.333,140.000
-103.354,-115.246,-99.599,-122.935,-69.737,-107.646,-120.342,-106.752,0.554,0.771,0.435,-0.702,1.648,0.641,73.333,141.000
-103.354,-115.156,-99.689,-122.845,-69.737,-107.646,-120.431,-106.573,0.555,0.770,0.438,-0.702,1.678,0.641,73.333,142.000
-103.354,-115.067,-99.778,-122.845,-69.648,-107.646,-120.342,-106.305,0.555,0.772,0.433,-0.671,1.678,0.641,73.333,143.000
-103.176,-115.156,-99.599,-123.113,-69.648,-107.646,-120.252,-106.484,0.554,0.771,0.434,-0.641,1.740,0.549,73.333,144.000
-102.997,-115.067,-99.778,-123.024,-69.737,-107.825,-120.342,-106.305,0.554,0.771,0.434,-0.580,1.678,0.580,73.333,145.000
-103.354,-115.067,-99.868,-123.024,-69.648,-107.557,-120.163,-106.305,0.556,0.771,0.437,-0.549,1.709,0.488,73.333,146.000
-103.354,-115.067,-99.778,-122.935,-69.648,-107.467,-120.163,-106.394,0.554,0.769,0.438,-0.488,1.709,0.397,73.333,147.000
-103.354,-115.246,-99.778,-122.756,-69.559,-107.467,-119.895,-106.573,0.553,0.769,0.435,-0.427,1.770,0.336,73.333,148.000
-102.997,-115.246,-99.868,-122.845,-69.380,-107.557,-119.895,-106.484,0.551,0.769,0.435,-0.397,1.678,0.336,73.333,149.000
-102.997,-115.246,-99.599,-122.935,-69.559,-107.467,-120.252,-106.573,0.552,0.770,0.434,-0.488,1.678,0.366,73.333,150.000
-103.086,-114.977,-99.599,-123.024,-69.648,-107.378,-120.163,-106.305,0.552,0.770,0.433,-0.488,1.740,0.519,73.333,151.000
-103.176,-114.977,-99.599,-123.024,-69.559,-107.557,-120.163,-106.305,0.554,0.771,0.436,-0.519,1.770,0.488,73.333,152.000
-102.997,-115.067,-99.510,-122.845,-69.559,-107.467,-120.252,-106.126,0.554,0.770,0.436,-0.580,1.709,0.610,73.333,153.000
-102.907,-114.977,-99.599,-122.666,-69.648,-107.557,-120.074,-106.215,0.553,0.771,0.433,-0.610,1.801,0.641,73.333,154.000
-102.907,-115.067,-99.510,-122.666,-69.648,-107.378,-120.163,-106.484,0.554,0.772,0.433,-0.671,1.801,0.732,73.333,155.000
-102.997,-114.977,-99.510,-122.666,-69.559,-107.378,-119.984,-106.573,0.555,0.768,0.435,-0.732,1.678,0.671,73.333,156.000
-102.997,-114.977,-99.510,-122.845,-69.827,-107.467,-119.984,-106.394,0.554,0.768,0.437,-0.610,1.709,0.610,73.333,157.000
-102.818,-114.977,-99.510,-122.845,-69.648,-107.646,-119.984,-106.305,0.556,0.769,0.438,-0.549,1.740,0.580,73.333,158.000
-102.907,-114.977,-99.689,-123.024,-69.559,-107.467,-119.895,-106.305,0.556,0.770,0.433,-0.549,1.770,0.519,73.333,159.000
-103.265,-115.067,-99.242,-122.845,-69.737,-107.467,-120.074,-106.126,0.556,0.771,0.434,-0.519,1.801,0.519,73.333,160.000
-103.176,-114.888,-99.421,-122.845,-69.559,-107.467,-120.163,-106.305,0.554,0.770,0.436,-0.610,1.801,0.427,73.333,161.000
-102.907,-114.799,-99.599,-122.845,-69.648,-107.467,-120.252,-106.305,0.555,0.770,0.438,-0.488,1.740,0.427,73.333,162.000
-102.997,-114.977,-99.510,-122.756,-69.737,-107.557,-120.252,-106.305,0.554,0.769,0.435,-0.397,1.770,0.427,73.333,163.000
-102.997,-115.156,-99.510,-122.935,-69.916,-107.557,-119.984,-106.394,0.552,0.771,0.432,-0.458,1.709,0.488,73.333,164.000
-102.997,-114.977,-99.599,-122.666,-69.648,-107.557,-119.895,-106.305,0.553,0.771,0.433,-0.580,1.709,0.610,73.333,165.000
-102.997,-114.977,-99.510,-122.488,-69.559,-107.378,-119.984,-106.305,0.554,0.771,0.436,-0.549,1.678,0.671,73.333,166.000
-102.729,-115.067,-99.599,-122.577,-69.469,-107.288,-119.984,-106.305,0.554,0.772,0.437,-0.610,1.740,0.641,73.333,167.000
-102.997,-114.977,-99.331,-122.666,-69.648,-107.467,-119.805,-106.484,0.555,0.773,0.433,-0.610,1.678,0.671,73.333,168.000
